Date,Move Minutes count,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Walking duration (ms),Cumulative Steps(Thousand),Cumulative Distance (Km),Distance (Km),Calories (1000kcal),Step count(1000)
2024-09-18,87,2173.6654625894244,4358.421546178626,92.49350649350647,111,71,0.6684837601945193,1.7146273775171017,0.2501575156369456,5664.0,1954888.0,134.5305,84.84750330659904,4.358421546178626,2.1736654625894243,5.664
2024-09-19,10,1332.222469823468,684.4664276866184,94.04247104247104,114,61,0.3772962698528412,2.1016840877382528,0.2956407002982085,5123.909090909091,21876.0,135.6085,85.53196973428565,0.6844664276866185,1.332222469823468,5.123909090909091
2024-09-20,31,1570.778329149361,879.1142864,96.50614754,144,72,0.6722015442409953,1.8437429711119016,0.2842699041328927,6670.666666666667,1073840.0,137.0005,86.41108402068565,0.8791142864,1.570778329149361,6.670666666666667
2024-09-21,70,1902.5260797642345,3242.250025024978,96.9527972,119,66,0.687925073,1.5184439676791444,0.2615283118022613,4486.0,1564260.0,141.48649999999998,89.65333404571062,3.2422500250249784,1.9025260797642345,4.486
2024-09-22,20,1066.8444535236686,760.4893839115741,91.23344947735193,115,68,0.4366946478270727,1.333519241852856,0.3070114964635241,1249.0,101739.0,142.73549999999997,90.4138234296222,0.7604893839115742,1.0668444535236685,1.249
2024-09-23,16,1337.251518057425,917.4263845,94.20454545454544,120,65,0.4707927477243521,1.7082024783028735,0.2842699041328927,4411.555555555556,307785.0,144.09449999999998,91.3312498141222,0.9174263845,1.3372515180574251,4.411555555555555
2024-09-24,27,1429.5130355386812,725.3851442024506,99.37587412587412,116,57,0.5939166843653293,2.009799952216607,0.2518777658355713,5692.181818181818,530729.0,145.16949999999997,92.05663495832464,0.7253851442024506,1.4295130355386811,5.692181818181818
2024-09-25,100,2295.601760746981,4006.719194615473,93.24157303370788,127,71,0.4644353663792163,1.4424684038082658,0.2501575156369456,6716.0,2630006.0,151.88549999999998,96.06335415294012,4.006719194615473,2.2956017607469814,6.716
2024-09-26,119,2788.3756436193794,5308.848546,89.85784314,114,69,0.5410895983382834,1.469392659081406,0.2615283118022613,9244.0,2807208.0,161.12949999999998,101.37220269894011,5.308848546,2.7883756436193794,9.244
2024-09-27,106,2370.7674493537224,4274.752335995305,94.88700564971752,120,63,0.4813973587699921,1.5251340846943668,0.2615283118022613,7521.0,1124714.0,168.65049999999997,105.64695503493544,4.274752335995305,2.3707674493537225,7.521
2024-09-28,13,1224.0466994893447,438.98597638840766,98.03125,114,73,0.3999441674470604,1.9066026173625847,0.2501575156369456,4471.142857142857,250444.0,173.12164285714283,106.08594101132384,0.43898597638840764,1.2240466994893446,4.471142857142857
2024-09-29,58,1338.20029876956,1535.9545395746395,99.38619402985074,123,69,0.4986971843437994,1.3694131726734455,0.2514988427985378,1676.0,1636264.0,174.79764285714282,107.62189555089849,1.5359545395746395,1.33820029876956,1.676
2024-09-30,27,1429.7885482128752,1192.5755348645275,98.77097902097904,120,67,0.5381724729404622,1.1633358484954892,0.2501575156369456,4411.555555555556,1001838.0,176.64464285714283,108.814471085763,1.1925755348645275,1.4297885482128752,4.411555555555555
2024-10-01,122,2763.801127991148,4828.461414435601,94.6993007,116,67,0.636587113,1.5110339668641115,0.272899108,9097.0,3686795.0,185.74164285714284,113.6429325001986,4.828461414435601,2.763801127991148,9.097
2024-10-02,32,1797.9870725596088,1733.1118963011595,96.08627450980391,123,62,0.696042852,2.251917273984746,0.2842699041328927,7482.3,1558055.0,188.28164285714283,115.37604439649976,1.7331118963011596,1.7979870725596088,7.4823
2024-10-03,147,2837.501562597881,5537.874852408612,85.24242424242425,101,70,0.6076682509910188,1.5631643768077048,0.2501575156369456,8680.0,4559528.0,196.96164285714283,120.91391924890836,5.5378748524086125,2.8375015625978808,8.68
2024-10-04,99,3090.1907489337245,6534.952666801735,85.04081632653062,119,65,0.6831514338977802,1.6890478300607097,0.272899108,9778.0,5026021.0,206.73964285714283,127.4488719157101,6.534952666801735,3.0901907489337246,9.778
2024-10-07,8,1204.308148069894,282.4525403495081,87.63684210526316,114,56,0.3431264270970559,1.2196266418537725,0.3411238746856229,4411.555555555556,242762.0,211.1511984126984,127.7313244560596,0.2824525403495081,1.204308148069894,4.411555555555555
2024-10-08,64,2375.0647397415355,4215.513002868305,92.27777777777776,119,68,0.6641244878127948,2.542264034628793,0.281023628,7211.0,2771189.0,218.3621984126984,131.94683745892792,4.215513002868305,2.3750647397415356,7.211
2024-10-09,133,2915.2448877571705,5751.023422428021,93.59489051,120,66,0.6093778767128312,1.541735341719827,0.3411238554024013,9404.0,3915962.0,227.7661984126984,137.69786088135595,5.7510234224280214,2.9152448877571704,9.404
2024-10-10,131,2110.037904797541,4347.972735098835,98.03587443946188,122,62,0.6650669780541001,1.497098504099399,0.3352450542531544,4830.0,2559894.0,232.5961984126984,142.0458336164548,4.347972735098835,2.110037904797541,4.83
2024-10-11,152,2769.6116693537324,5656.977699464888,91.16763005780346,119,61,0.5686134185448758,1.6026968488958284,0.2501575156369456,8377.0,3652598.0,240.9731984126984,147.70281131591966,5.656977699464888,2.7696116693537323,8.377
2024-10-12,11,1237.7572265924011,304.4976177797453,84.13636363636364,97,73,0.5855634556688774,1.1872510248290866,0.2501575156369456,4471.142857142857,522402.0,245.4443412698413,148.00730893369942,0.3044976177797453,1.237757226592401,4.471142857142857
2024-10-14,74,1835.240367295854,2764.805732658334,95.08544303797468,114,76,0.5223684409583612,1.4981856233414206,0.2956407002982085,4687.0,1654617.0,250.1313412698413,150.77211466635777,2.764805732658334,1.835240367295854,4.687
2024-10-15,3,1346.572705129577,199.0654178467128,98.87860082304526,123,72,0.5553242736558885,1.0357354656363815,0.2501575156369456,5692.181818181818,170541.0,251.7213412698413,150.9711800842045,0.19906541784671278,1.3465727051295768,5.692181818181818
2024-10-16,188,3180.032839049724,7086.020384147433,88.39908256880734,111,69,0.7093654198958513,1.5025755235200664,0.272899108,10751.0,1654183.0,262.4723412698413,158.05720046835194,7.086020384147433,3.1800328390497237,10.751
2024-10-17,15,1351.8168323695418,755.2507314139363,99.81132075,118,75,0.7531526054879834,1.277906655710118,0.3411238541379278,5123.909090909091,60065.0,263.6213412698413,158.81245119976586,0.7552507314139363,1.3518168323695419,5.123909090909091
2024-10-18,191,3026.838736836889,7219.541564,93.58238636363636,113,71,0.577801969,2.872955915696973,0.256944097,9480.0,1314412.0,273.1013412698413,166.03199276376586,7.219541564,3.026838736836889,9.48
2024-10-19,13,1050.1436525626734,639.3027369,95.1595092,119,70,0.6438987205362359,1.4552702714802603,0.2501575156369456,1016.0,811123.0,274.11734126984135,166.67129550066585,0.6393027369000001,1.0501436525626735,1.016
2024-10-21,49,1635.1601144251322,2534.2305180325275,94.63541666666669,119,64,0.5536877122392891,1.5894466848203943,0.2501575156369456,3144.0,1923419.0,277.2613412698413,169.20552601869838,2.5342305180325275,1.6351601144251322,3.144
2024-10-22,19,1473.4057016166112,982.7637373976067,94.0,97,91,0.5817706071028758,1.3189176008890795,0.3411238631275441,5692.181818181818,890576.0,278.7603412698414,170.188289756096,0.9827637373976067,1.473405701616611,5.692181818181818
2024-10-23,90,1991.291115923498,4658.894285968088,84.25877192982456,114,66,0.619116176,1.5451840912871275,0.2505193863192008,4404.0,436887.5402006209,283.1643412698414,174.8471840420641,4.658894285968088,1.991291115923498,4.404
2024-10-24,48,1580.6632843784637,2864.8680315857587,82.68867924528301,110,62,0.6425282336342328,1.4716951833978968,0.272899108,3094.0,364826.9667928741,286.25834126984137,177.71205207364986,2.864868031585759,1.5806632843784636,3.094
2024-10-25,67,1734.0768704672014,3594.8102523931307,88.08273381294964,111,66,0.5653248136052028,1.3849235113952711,0.2501575156369456,3518.0,363058.0117576756,289.77634126984134,181.306862326043,3.5948102523931307,1.7340768704672014,3.518
2024-10-26,18,1171.2950495218608,1083.6399549151631,101.18041237113404,115,73,0.7130180088712649,1.8723382121214256,0.2501575156369456,1711.0,17367.93486116454,291.4873412698413,182.3905022809581,1.0836399549151632,1.1712950495218608,1.711
2024-10-27,8,1014.7534675991234,461.75412461267945,95.32978723404256,117,68,0.515025892,1.0708010111504147,0.2615283118022613,1457.75,-11463.54393,292.9450912698413,182.8522564055708,0.46175412461267945,1.0147534675991234,1.45775
2024-10-28,78,1760.3370294303422,3884.9647776209504,95.55411255411256,113,61,0.6511598960394742,1.5472640500594947,0.2433438734713755,3383.0,339435.9543111399,296.3280912698413,186.73722118319176,3.8849647776209504,1.7603370294303422,3.383
2024-10-29,98,2015.537265362797,4944.543127405633,81.99494949,116,64,0.48911086,1.5187644565584453,0.2615283118022613,4411.0,171280.0,300.7390912698413,191.6817643105974,4.944543127405633,2.0155372653627968,4.411
2024-10-31,64,1726.0239202310595,2716.3652800062587,97.72747747747748,121,60,0.3827248841592865,1.6714385074887272,0.2501575156369456,4358.0,343663.08672213554,305.0970912698413,194.39812959060367,2.7163652800062588,1.7260239202310594,4.358
2024-11-01,64,1659.771684283111,2659.1621584567574,100.70731707317071,123,70,0.5116937042685602,2.3900058400167934,0.2501575156369456,3879.0,112236.69119502977,308.97609126984133,197.05729174906045,2.6591621584567573,1.659771684283111,3.879
2024-11-02,39,1351.989868122099,1643.1731904630274,99.70209059,122,72,0.6195437391116908,1.250218863806068,0.2501575156369456,2512.0,147371.80846545473,311.48809126984133,198.70046493952344,1.6431731904630273,1.3519898681220992,2.512
2024-11-03,22,1136.4693408398855,985.1357341914876,98.36411149825784,124,62,0.5696439105489632,1.2449494795769995,0.2501575156369456,1539.0,51454.05734810233,313.0270912698413,199.68560067371493,0.9851357341914876,1.1364693408398856,1.539
2024-11-04,72,1859.888947901224,3991.638556,98.09893992932862,121,69,0.6682327368198948,1.4341797213658956,0.2501575156369456,4044.0,508747.7325130999,317.0710912698413,203.67723922971493,3.991638556,1.859888947901224,4.044
2024-11-05,95,2046.3727121352783,5017.890801434657,88.06730769,104,69,0.5836353317498669,1.7339845059168542,0.2501575156369456,4475.0,477269.4173879437,321.5460912698413,208.6951300311496,5.017890801434657,2.046372712135278,4.475
2024-11-06,94,1995.1468856666088,4974.007601590095,85.51680672268908,106,71,0.7292913894022587,1.6214538588821727,0.3411238541379278,4082.0,720230.3412784189,325.6280912698413,213.66913763273968,4.974007601590095,1.9951468856666088,4.082
2024-11-07,87,1989.096046207717,4538.710014250384,82.3030888,117,58,0.7001565085126563,1.459310722999701,0.2956407002982085,4496.0,636164.1836792082,330.1240912698413,218.20784764699005,4.538710014250384,1.9890960462077172,4.496
2024-11-08,129,2369.934003228255,6434.3961717369775,80.15340909,109,61,0.6414421682376239,1.499616555298932,0.2501575156369456,5500.0,620342.4252,335.6240912698413,224.64224381872705,6.434396171736977,2.3699340032282548,5.5
2024-11-09,12,1260.5395841572204,517.4591152364015,102.95138888888889,118,71,0.5028240247642619,1.096516369784084,0.3070114964635241,4471.142857142857,176606.69206658378,340.09523412698417,225.15970293396344,0.5174591152364015,1.2605395841572204,4.471142857142857
2024-11-10,17,1095.3331776158568,855.9063766809054,93.54850746268656,123,58,0.3617183974300289,2.528492892762498,0.2956407002982085,1367.0,60040.0,341.4622341269842,226.01560931064432,0.8559063766809054,1.0953331776158568,1.367
2024-11-11,107,2579.203531957737,5450.352620663052,95.08638743455498,117,67,0.5358978573080629,1.5816976875458706,0.2618993326819103,8158.0,1070008.0234825686,349.6202341269842,231.46596193130736,5.450352620663052,2.579203531957737,8.158
2024-11-12,142,2790.9972387165863,5930.928600584317,91.49641577060932,116,69,0.6280716617100195,1.528628622575218,0.2615283118022613,9245.0,1009394.1568321772,358.8652341269842,237.39689053189167,5.930928600584317,2.7909972387165864,9.245
2024-11-13,153,3276.2568812238924,8250.111251607239,89.19458128078817,141,68,0.5125598535364778,1.6445380848177122,0.2582890080915633,10673.0,1431232.7364393547,369.5382341269842,245.6470017834989,8.250111251607239,3.2762568812238926,10.673
2024-11-14,13,1326.9393171598103,619.3502450899541,96.62,111,84,0.3863602015470476,1.4977152938886968,0.2842699041328927,5123.909090909091,40960.7159,370.6102341269842,246.26635202858887,0.6193502450899541,1.3269393171598103,5.123909090909091
2024-11-15,33,1603.0564086003292,1346.825099599764,93.36394558,116,61,0.3818364275344718,1.3204444418362855,0.2501575156369456,6670.666666666667,87574.27033839747,372.8792341269842,247.61317712818865,1.346825099599764,1.6030564086003292,6.670666666666667
