Date,Move Minutes count,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Walking duration (ms)
23-09-2024,16.0,1677.9004016036818,917.426384465752,94.20454545454544,120.0,65.0,0.4707927477243521,1.7082024783028735,0.2842699041328927,1359.0,307785.0
24-09-2024,27.0,1738.8642936533793,725.3851442024506,99.37587412587412,116.0,57.0,0.5939166843653293,2.009799952216607,0.2518777658355713,1075.0,530729.0
25-09-2024,100.0,1818.6170465815055,4006.719194615473,93.24157303370788,127.0,71.0,0.4644353663792163,1.4424684038082658,0.2501575156369456,6716.0,2630006.0
26-09-2024,119.0,1829.3546958614984,5308.848546,89.85784314,114.0,69.0,0.5410895983382834,1.469392659081406,0.2615283118022613,9244.0,2807208.0
27-09-2024,106.0,1727.402720852254,4274.752335995305,94.88700564971752,120.0,63.0,0.4813973587699921,1.5251340846943668,0.2615283118022613,7521.0,1124714.0
28-09-2024,13.0,1701.243638500528,438.98597638840766,98.03125,114.0,73.0,0.3999441674470604,1.9066026173625847,0.2501575156369456,24.0,250444.0
29-09-2024,58.0,1848.6031865047323,1535.9545395746395,99.38619402985074,123.0,69.0,0.4986971843437994,1.3694131726734455,0.2514988427985378,1676.0,1636264.0
30-09-2024,27.0,1719.9569841153336,1192.5755348645275,98.77097902097904,120.0,67.0,0.5381724729404622,1.1633358484954892,0.2501575156369456,1847.0,1001838.0
01-10-2024,122.0,1918.803335859914,4828.461414435601,94.6993007,116.0,67.0,0.636587113,1.5110339668641115,0.272899107967577,9097.0,3686795.0
02-10-2024,32.0,1777.9544102049988,1733.1118963011595,96.08627450980391,123.0,62.0,0.696042852,2.251917273984746,0.2842699041328927,2540.0,1558055.0
03-10-2024,147.0,1963.7283536165576,5537.874852408612,85.24242424242425,101.0,70.0,0.6076682509910188,1.5631643768077048,0.2501575156369456,8680.0,4559528.0
04-10-2024,99.0,1963.8052850645129,6534.952666801735,85.04081632653062,119.0,65.0,0.6831514338977802,1.6890478300607097,0.272899107967577,9778.0,5026021.0
07-10-2024,8.0,1673.9603177965266,282.4525403495081,87.63684210526316,114.0,56.0,0.3431264270970559,1.2196266418537725,0.3411238746856229,495.0,242762.0
08-10-2024,64.0,1827.1721527419052,4215.513002868305,92.27777777777776,119.0,68.0,0.6641244878127948,2.542264034628793,0.281023628355758,7211.0,2771189.0
09-10-2024,133.0,1896.540450333488,5751.023422428021,93.59489051,120.0,66.0,0.6093778767128312,1.541735341719827,0.3411238554024013,9404.0,3915962.0
10-10-2024,131.0,1814.368493233372,4347.972735098835,98.03587443946188,122.0,62.0,0.6650669780541001,1.497098504099399,0.3352450542531544,4830.0,2559894.0
11-10-2024,152.0,1880.581743,5656.977699464888,91.16763005780346,119.0,61.0,0.5686134185448758,1.6026968488958284,0.2501575156369456,8377.0,3652598.0
12-10-2024,11.0,1719.098651,304.4976177797453,84.13636363636364,97.0,73.0,0.5855634556688774,1.1872510248290866,0.2501575156369456,529.0,522402.0
14-10-2024,74.0,1759.5125919840104,2764.805732658334,95.08544303797468,114.0,76.0,0.5223684409583612,1.4981856233414206,0.2956407002982085,4687.0,1654617.0
15-10-2024,3.0,1669.584003,199.0654178467128,98.87860082304526,123.0,72.0,0.5553242736558885,1.0357354656363815,0.2501575156369456,1590.0,170541.0
16-10-2024,188.0,1759.4863310226028,7086.020384147433,88.39908256880734,111.0,69.0,0.7093654198958513,1.5025755235200664,0.272899107967577,10751.0,1654183.0
17-10-2024,15.0,1662.8896306943495,755.2507314139363,99.811320754717,118.0,75.0,0.7531526054879834,1.277906655710118,0.3411238541379278,1149.0,60065.0
18-10-2024,191.0,1738.8977458183315,7219.541564,93.58238636363636,113.0,71.0,0.577801969,2.872955915696973,0.256944097,9480.0,1314412.0
19-10-2024,13.0,1708.400476671695,639.3027369,95.159509202454,119.0,70.0,0.6438987205362359,1.4552702714802603,0.2501575156369456,1016.0,811123.0
21-10-2024,49.0,1824.7204721030496,2534.2305180325275,94.63541666666669,119.0,64.0,0.5536877122392891,1.5894466848203943,0.2501575156369456,3144.0,1923419.0
22-10-2024,19.0,1713.214989061522,982.7637373976067,94.0,97.0,91.0,0.5817706071028758,1.3189176008890795,0.3411238631275441,1499.0,890576.0
23-10-2024,90.0,1659.249948978424,4658.894285968088,84.25877192982456,114.0,66.0,0.619116176,1.5451840912871275,0.2505193863192008,4404.0,436887.5402006209
24-10-2024,48.0,1659.2499489784238,2864.8680315857587,82.68867924528301,110.0,62.0,0.6425282336342328,1.4716951833978968,0.272899107967577,3094.0,364826.9667928703
25-10-2024,67.0,1659.249948978424,3594.8102523931307,88.08273381294964,111.0,66.0,0.5653248136052028,1.3849235113952711,0.2501575156369456,3518.0,363058.01175767556
26-10-2024,18.0,1659.2499489784238,1083.6399549151631,101.18041237113404,115.0,73.0,0.7130180088712649,1.8723382121214256,0.2501575156369456,1711.0,17367.93486116454
27-10-2024,8.0,1659.249948978424,461.75412461267945,95.32978723404256,117.0,68.0,0.515025892,1.0708010111504147,0.2615283118022613,738.0,11463.543933160603
28-10-2024,78.0,1659.249948978424,3884.9647776209504,95.55411255411256,113.0,61.0,0.6511598960394742,1.5472640500594947,0.2433438734713755,3383.0,339435.95431113616
29-10-2024,98.0,1669.6287833129568,4944.543127405633,81.99494949,116.0,64.0,0.489110860220009,1.5187644565584453,0.2615283118022613,4411.0,171280.0
31-10-2024,64.0,1659.249948978424,2716.3652800062587,97.72747747747748,121.0,60.0,0.3827248841592865,1.6714385074887272,0.2501575156369456,4358.0,343663.08672213927
01-11-2024,64.0,1659.249948978424,2659.1621584567574,100.70731707317071,123.0,70.0,0.5116937042685602,2.3900058400167934,0.2501575156369456,3879.0,112236.69119502604
02-11-2024,39.0,1659.249948978424,1643.1731904630274,99.70209059,122.0,72.0,0.6195437391116908,1.250218863806068,0.2501575156369456,2512.0,147371.808465451
03-11-2024,22.0,1659.249948978424,985.1357341914876,98.36411149825784,124.0,62.0,0.5696439105489632,1.2449494795769995,0.2501575156369456,1539.0,51454.05734810606
04-11-2024,72.0,1659.2499489784243,3991.638556,98.09893992932862,121.0,69.0,0.6682327368198948,1.4341797213658956,0.2501575156369456,4044.0,508747.7325130999
05-11-2024,95.0,1659.249948978424,5017.890801434657,88.06730769,104.0,69.0,0.5836353317498669,1.7339845059168542,0.2501575156369456,4475.0,477269.4173879437
06-11-2024,94.0,1659.249948978424,4974.007601590095,85.51680672268908,106.0,71.0,0.7292913894022587,1.6214538588821727,0.3411238541379278,4082.0,720230.3412784189
07-11-2024,87.0,1659.249948978424,4538.710014250384,82.3030888,117.0,58.0,0.7001565085126563,1.459310722999701,0.2956407002982085,4496.0,636164.1836792119
08-11-2024,129.0,1659.249948978424,6434.3961717369775,80.15340909,109.0,61.0,0.6414421682376239,1.499616555298932,0.2501575156369456,5500.0,620342.4252098314
09-11-2024,12.0,1659.249948978424,517.4591152364015,102.95138888888889,118.0,71.0,0.5028240247642619,1.096516369784084,0.3070114964635241,906.0,176606.69206657633
10-11-2024,17.0,1662.888115801435,855.9063766809054,93.54850746268656,123.0,58.0,0.3617183974300289,2.528492892762498,0.2956407002982085,1367.0,60040.0
11-11-2024,107.0,1659.249948978424,5450.352620663052,95.08638743455498,117.0,67.0,0.5358978573080629,1.5816976875458706,0.2618993326819103,8158.0,1070008.0234825723
12-11-2024,142.0,1659.249948978424,5930.928600584317,91.49641577060932,116.0,69.0,0.6280716617100195,1.528628622575218,0.2615283118022613,9245.0,1009394.1568321809
13-11-2024,153.0,1659.249948978424,8250.111251607239,89.19458128078817,141.0,68.0,0.5125598535364778,1.6445380848177122,0.2582890080915633,10673.0,1431232.736439351
14-11-2024,13.0,1659.2499489784243,619.3502450899541,96.62,111.0,84.0,0.3863602015470476,1.4977152938886968,0.2842699041328927,1072.0,40960.715904176235
15-11-2024,33.0,1659.249948978424,1346.825099599764,93.36394558,116.0,61.0,0.3818364275344718,1.3204444418362855,0.2501575156369456,2269.0,87574.2703384012
,,,,,,,,,,,
