Date,Move Minutes count,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Walking duration (ms)
07-10-2024,8,1673.9603177965266,282.4525403495081,87.63684210526316,114,56,0.34312642709705593,1.2196266418537725,0.3411238746856229,495,242762
08-10-2024,64,1827.1721527419054,4215.513002868305,92.27777777777777,119,68,0.6641244878127948,2.5422640346287935,0.28102362835575806,7211,2771189
09-10-2024,133,1896.5404503334878,5751.023422428021,93.59489051,120,66,0.6093778767128312,1.541735341719827,0.3411238554024013,9404,3915962
10-10-2024,131,1814.368493233372,4347.972735098835,98.03587443946188,122,62,0.6650669780541001,1.497098504099399,0.33524505425315443,4830,2559894
11-10-2024,152,1880.581743,5656.977699464888,91.16763005780346,119,61,0.5686134185448758,1.6026968488958284,0.2501575156369456,8377,3652598
12-10-2024,11,1719.098651,304.4976177797453,84.13636363636364,97,73,0.5855634556688774,1.1872510248290866,0.2501575156369456,529,522402
14-10-2024,74,1759.5125919840104,2764.805732658334,95.08544303797468,114,76,0.5223684409583612,1.4981856233414206,0.2956407002982085,4687,1654617
15-10-2024,3,1669.584003,199.06541784671276,98.87860082304526,123,72,0.5553242736558885,1.0357354656363817,0.2501575156369456,1590,170541
16-10-2024,188,1759.4863310226028,7086.020384147433,88.39908256880734,111,69,0.7093654198958513,1.5025755235200664,0.27289910796757705,10751,1654183
17-10-2024,15,1662.8896306943495,755.2507314139363,99.81132075471699,118,75,0.7531526054879834,1.277906655710118,0.3411238541379278,1149,60065
18-10-2024,191,1738.8977458183315,7219.541564,93.58238636363636,113,71,0.577801969,2.872955915696973,0.256944097,9480,1314412
19-10-2024,13,1708.400476671695,639.3027369,95.15950920245399,119,70,0.6438987205362359,1.4552702714802603,0.2501575156369456,1016,811123
21-10-2024,49,1824.7204721030496,2534.2305180325275,94.63541666666667,119,64,0.5536877122392891,1.5894466848203945,0.2501575156369456,3144,1923419
22-10-2024,19,1713.214989061522,982.7637373976067,94,97,91,0.5817706071028758,1.3189176008890795,0.3411238631275441,1499,890576
23-10-2024,90,1659.249948978424,4658.894285968088,84.25877192982456,114,66,0.619116176,1.5451840912871275,0.2505193863192008,4404,
24-10-2024,48,1659.2499489784238,2864.8680315857587,82.68867924528301,110,62,0.6425282336342328,1.4716951833978968,0.27289910796757705,3094,
25-10-2024,67,1659.249948978424,3594.8102523931307,88.08273381294964,111,66,0.5653248136052028,1.3849235113952711,0.2501575156369456,3518,
26-10-2024,18,1659.2499489784238,1083.6399549151631,101.18041237113403,115,73,0.7130180088712649,1.8723382121214258,0.2501575156369456,1711,
27-10-2024,8,1659.249948978424,461.75412461267945,95.32978723404256,117,68,0.515025892,1.0708010111504147,0.2615283118022613,738,
28-10-2024,78,1659.249948978424,3884.9647776209504,95.55411255411255,113,61,0.6511598960394742,1.5472640500594947,0.24334387347137557,3383,
29-10-2024,98,1669.6287833129568,4944.543127405633,81.99494949,116,64,0.48911086022000905,1.5187644565584453,0.2615283118022613,4411,171280
31-10-2024,64,1659.249948978424,2716.3652800062587,97.72747747747748,121,60,0.38272488415928657,1.6714385074887272,0.2501575156369456,4358,
01-11-2024,64,1659.249948978424,2659.1621584567574,100.70731707317073,123,70,0.5116937042685602,2.3900058400167934,0.2501575156369456,3879,
02-11-2024,39,1659.249948978424,1643.1731904630274,99.70209059,122,72,0.6195437391116908,1.250218863806068,0.2501575156369456,2512,
03-11-2024,22,1659.249948978424,985.1357341914877,98.36411149825784,124,62,0.5696439105489632,1.2449494795769995,0.2501575156369456,1539,
04-11-2024,72,1659.2499489784243,3991.638556,98.09893992932862,121,69,0.6682327368198948,1.4341797213658956,0.2501575156369456,4044,
05-11-2024,95,1659.249948978424,5017.890801434657,88.06730769,104,69,0.5836353317498669,1.7339845059168542,0.2501575156369456,4475,
06-11-2024,94,1659.249948978424,4974.007601590095,85.51680672268908,106,71,0.7292913894022587,1.6214538588821727,0.3411238541379278,4082,
07-11-2024,87,1659.249948978424,4538.710014250384,82.3030888,117,58,0.7001565085126563,1.459310722999701,0.2956407002982085,4496,
08-11-2024,129,1659.249948978424,6434.3961717369775,80.15340909,109,61,0.6414421682376239,1.499616555298932,0.2501575156369456,5500,
09-11-2024,12,1659.249948978424,517.4591152364015,102.95138888888889,118,71,0.5028240247642619,1.096516369784084,0.30701149646352416,906,
10-11-2024,17,1662.8881158014353,855.9063766809054,93.54850746268657,123,58,0.3617183974300289,2.528492892762498,0.2956407002982085,1367,60040
11-11-2024,107,1659.249948978424,5450.352620663052,95.08638743455498,117,67,0.5358978573080629,1.5816976875458706,0.2618993326819103,8158,
12-11-2024,142,1659.249948978424,5930.928600584317,91.49641577060932,116,69,0.6280716617100195,1.528628622575218,0.2615283118022613,9245,
13-11-2024,153,1659.249948978424,8250.111251607239,89.19458128078817,141,68,0.5125598535364778,1.6445380848177122,0.2582890080915633,10673,
14-11-2024,13,1659.2499489784243,619.3502450899541,96.62,111,84,0.3863602015470476,1.4977152938886968,0.28426990413289277,1072,
15-11-2024,33,1659.249948978424,1346.8250995997641,93.36394558,116,61,0.38183642753447183,1.3204444418362857,0.2501575156369456,2269,
,,,,,,,,,,,
